"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"71","1128E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Bussoleno - San Giorio - Borgata Adrit","sabato","horizontal","1128E_Di","1","","0","0"
"72","1128E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Bussoleno - San Giorio - Borgata Adrit","domenica e festivi","horizontal","1128E_Di","2","","0","0"
"73","12U","1","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: C. VITTORIO EMANUELE II, PASSAGGI MATTUTINI","frequenza","horizontal","12U_As","0","","0","0"
"74","12U","1","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: C. VITTORIO EMANUELE II, PASSAGGI SERALI","frequenza","horizontal","12U_As","1","","0","0"
"75","12U","1","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: C. VITTORIO EMANUELE II, PASSAGGI MATTUTINI","frequenza","horizontal","12U_As","2","","0","0"
"76","12U","1","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: C. VITTORIO EMANUELE II, PASSAGGI SERALI","frequenza","horizontal","12U_As","3","","0","0"
"77","12U","1","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: C. VITTORIO EMANUELE II, PASSAGGI MATTUTINI","frequenza","horizontal","12U_As","4","","0","0"
"78","12U","1","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: C. VITTORIO EMANUELE II, PASSAGGI SERALI","frequenza","horizontal","12U_As","5","","0","0"
"79","12U","0","20260620","20260731","1","1","1","1","1","0","0","04:00:00","07:00:00","DIREZIONE: VIA ALLASON, PASSAGGI MATTUTINI","frequenza","horizontal","12U_Di","0","","0","0"
"80","12U","0","20260620","20260731","1","1","1","1","1","0","0","21:00:00","27:00:00","DIREZIONE: VIA ALLASON, PASSAGGI SERALI","frequenza","horizontal","12U_Di","1","","0","0"
"81","12U","0","20260620","20260731","0","0","0","0","0","1","0","04:00:00","07:00:00","DIREZIONE: VIA ALLASON, PASSAGGI MATTUTINI","frequenza","horizontal","12U_Di","2","","0","0"
"82","12U","0","20260620","20260731","0","0","0","0","0","1","0","21:00:00","27:00:00","DIREZIONE: VIA ALLASON, PASSAGGI SERALI","frequenza","horizontal","12U_Di","3","","0","0"
"83","12U","0","20260620","20260731","0","0","0","0","0","0","1","04:00:00","09:00:00","DIREZIONE: VIA ALLASON, PASSAGGI MATTUTINI","frequenza","horizontal","12U_Di","4","","0","0"
"84","12U","0","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: VIA ALLASON, PASSAGGI SERALI","frequenza","horizontal","12U_Di","5","","0","0"
"85","1224E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Bussoleno - Avigliana - Rivoli","dal lunedì al venerdì","horizontal","1224E_As","0","","0","0"
"86","1224E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Bussoleno - Avigliana - Rivoli","sabato","horizontal","1224E_As","1","","0","0"
"87","1224E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Bussoleno - Avigliana - Rivoli","domenica e festivi","horizontal","1224E_As","2","","0","0"
"88","1224E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Rivoli - Avigliana - Bussoleno","dal lunedì al venerdì","horizontal","1224E_Di","0","","0","0"
