ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
068000000798,halagjta,,,Windmill Hill East,,Windmill Hill East,,Windmill Hill East,,Windmill Hill Avenue,,,,,,NW,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355599,382783,-2.66831,53.34007,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000799,halagjtd,,,Windmill Hill East,,Windmill Hill East,,Windmill Hill East,,Windmill Hill East,,,,,,SE,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355602,382791,-2.66827,53.34015,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000790,halagjmw,,,Newburgh Close,,Newburgh Close,,Newburgh Close,,,,,,,,S,N0065324,Windmill Hill,Norton,,Runcorn,EN,Windmill Hill,EN,false,UKOS,355600,382421,-2.66824,53.33682,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2024-11-25T12:12:11,37,new,active
068000000791,halagjpa,,,Norton Lane,,Norton Lane,,Norton Lane,,Norton Lane,,,,,,SE,E0037821,Eanley Wood,Norton,,Runcorn,EN,Eanley Wood,EN,false,UKOS,355541,381792,-2.66904,53.33116,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2019-05-17T14:39:53,3,new,active
068000000792,halagjpd,,,Norton Lane,,Norton Lane,,Norton Lane,,Norton Lane,,,,,,NW,E0037821,Eanley Wood,Norton,,Runcorn,EN,Eanley Wood,EN,false,UKOS,355538,381778,-2.66908,53.33104,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000793,halagjpg,,,Morton Lane,,Morton Lane,,Morton Lane,,Windmill Hill Avenue East,,,,,,NE,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,355644,381925,-2.66751,53.33237,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000805,halagjwa,,,Dorchester,,Dorchester,,Dorchester,,,,,,,,NE,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356113,383488,-2.66069,53.34645,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2019-03-18T07:41:03,4,new,active
068000000806,halagjwd,,,Dorchester,,Dorchester,,Dorchester,,Pitts Heath Lane,,,,,,SW,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356135,383385,-2.66034,53.34553,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
068000000807,halagjwg,,,Steventon,,Steventon,,Steventon,,,,,,,,E,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356228,383546,-2.65897,53.34698,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,2019-03-18T07:41:10,3,new,active
068000000808,halagjwj,,,Steventon,,Steventon,,Steventon,,Pitts Heath Lane,,,,,,SW,E0037835,Norton,Runcorn,,Runcorn,EN,Norton,EN,false,UKOS,356220,383537,-2.65909,53.3469,BCT,MKD,OTH,,,,021,1969-12-31T00:00:00,1969-12-31T23:00:00,0,new,active
